,Feature,Mean,Std Dev
242,0_FFT mean coefficient_182,9.93845225219e-13,3.97495700274e-11
243,0_FFT mean coefficient_183,8.47265728015e-13,2.87429608044e-11
244,0_FFT mean coefficient_184,6.4139249338e-13,6.28329164081e-12
245,0_FFT mean coefficient_185,4.97658396506e-13,4.36481313558e-12
246,0_FFT mean coefficient_186,4.09469153322e-13,3.30917816267e-12
247,0_FFT mean coefficient_187,3.51378214183e-13,3.20477106736e-12
248,0_FFT mean coefficient_188,2.95051283039e-13,2.66893237496e-12
249,0_FFT mean coefficient_189,2.51151630505e-13,2.16677032946e-12
250,0_FFT mean coefficient_190,2.14486621466e-13,2.01849470772e-12
251,0_FFT mean coefficient_191,1.85506193816e-13,1.77940517513e-12
252,0_FFT mean coefficient_192,1.54297855993e-13,1.47374021139e-12
253,0_FFT mean coefficient_193,1.29453745933e-13,1.22827425126e-12
254,0_FFT mean coefficient_194,1.1116597373e-13,1.11152027297e-12
255,0_FFT mean coefficient_195,9.11223355381e-14,8.70680654638e-13
256,0_FFT mean coefficient_196,7.93729059831e-14,8.11221490812e-13
257,0_FFT mean coefficient_197,6.73212117181e-14,6.63967440491e-13
258,0_FFT mean coefficient_198,5.89178634387e-14,6.45826064772e-13
259,0_FFT mean coefficient_199,5.26026244412e-14,5.91729293437e-13
260,0_FFT mean coefficient_200,4.31967366458e-14,4.46479484512e-13
261,0_FFT mean coefficient_201,3.64782583835e-14,3.54685267735e-13
262,0_FFT mean coefficient_202,3.14029895104e-14,2.69055427937e-13
263,0_FFT mean coefficient_203,2.69829393107e-14,1.84016043202e-13
264,0_FFT mean coefficient_204,2.52977075282e-14,1.97007987974e-13
265,0_FFT mean coefficient_205,2.06373436917e-14,9.44711415135e-14
266,0_FFT mean coefficient_206,1.83497127141e-14,6.7970308306e-14
267,0_FFT mean coefficient_207,1.65111711496e-14,4.77831695433e-14
268,0_FFT mean coefficient_208,1.482636159e-14,3.48300605308e-14
269,0_FFT mean coefficient_209,1.37025102539e-14,2.88426528309e-14
270,0_FFT mean coefficient_210,1.25973756933e-14,2.23989663843e-14
271,0_FFT mean coefficient_211,1.17727257559e-14,1.9174069714e-14
272,0_FFT mean coefficient_212,1.11519343398e-14,1.67408735303e-14
273,0_FFT mean coefficient_213,1.07020934214e-14,1.52371580981e-14
274,0_FFT mean coefficient_214,1.03494645981e-14,1.43153730056e-14
275,0_FFT mean coefficient_215,9.88865957859e-15,1.31188566417e-14
276,0_FFT mean coefficient_216,9.43250962602e-15,1.24477578144e-14
277,0_FFT mean coefficient_217,9.00651019753e-15,1.18481125951e-14
278,0_FFT mean coefficient_218,8.63774776064e-15,1.11797012697e-14
279,0_FFT mean coefficient_219,8.32319120905e-15,1.08038725316e-14
280,0_FFT mean coefficient_220,8.07919726352e-15,1.05807765392e-14
281,0_FFT mean coefficient_221,7.91173102634e-15,1.04112208635e-14
282,0_FFT mean coefficient_222,7.75755783498e-15,1.00654912741e-14
283,0_FFT mean coefficient_223,7.54760891657e-15,9.80275704992e-15
284,0_FFT mean coefficient_224,7.27881378487e-15,9.44574113184e-15
285,0_FFT mean coefficient_225,7.01171875159e-15,9.15242492755e-15
286,0_FFT mean coefficient_226,6.77796716595e-15,8.72527290193e-15
287,0_FFT mean coefficient_227,6.57705614224e-15,8.53574559489e-15
288,0_FFT mean coefficient_228,6.42197510048e-15,8.33111660303e-15
289,0_FFT mean coefficient_229,6.32374495558e-15,8.28908565079e-15
290,0_FFT mean coefficient_230,6.24006872395e-15,8.07741962225e-15
291,0_FFT mean coefficient_231,6.10808037984e-15,7.96577856863e-15
292,0_FFT mean coefficient_232,5.92230982611e-15,7.62624660349e-15
293,0_FFT mean coefficient_233,5.73162760053e-15,7.45465290437e-15
294,0_FFT mean coefficient_234,5.56924786458e-15,7.14556895687e-15
295,0_FFT mean coefficient_235,5.43539559596e-15,7.08186886177e-15
296,0_FFT mean coefficient_236,5.33668987046e-15,6.85789634327e-15
297,0_FFT mean coefficient_237,5.2837754268e-15,6.88819065918e-15
298,0_FFT mean coefficient_238,5.24808721716e-15,6.76329501878e-15
299,0_FFT mean coefficient_239,5.17513068472e-15,6.78573174106e-15
300,0_FFT mean coefficient_240,5.05164761013e-15,6.45869941829e-15
301,0_FFT mean coefficient_241,4.91824190978e-15,6.36771558918e-15
302,0_FFT mean coefficient_242,4.81052292933e-15,6.14243724944e-15
303,0_FFT mean coefficient_243,4.73045527947e-15,6.19156741049e-15
304,0_FFT mean coefficient_244,4.67872120249e-15,5.96343796091e-15
305,0_FFT mean coefficient_245,4.66495346791e-15,6.04474534791e-15
306,0_FFT mean coefficient_246,4.67077856214e-15,5.98353651541e-15
307,0_FFT mean coefficient_247,4.64813528373e-15,6.12421558209e-15
308,0_FFT mean coefficient_248,4.57688742368e-15,5.82831544014e-15
309,0_FFT mean coefficient_249,4.49040458384e-15,5.79413719554e-15
310,0_FFT mean coefficient_250,4.42747546469e-15,5.62763445383e-15
311,0_FFT mean coefficient_251,4.39357212895e-15,5.76895418423e-15
312,0_FFT mean coefficient_252,4.38477690258e-15,5.56644575658e-15
313,0_FFT mean coefficient_253,4.40843428371e-15,5.68904850432e-15
314,0_FFT mean coefficient_254,4.45370095886e-15,5.67702232634e-15
315,0_FFT mean coefficient_255,2.23884456078e-15,2.95565790823e-15
316,0_Fundamental frequency,1.30507376111,0.79124641083
317,0_Human range energy,0.22356850799,0.195294170996
318,0_LPCC_0,0.271618199782,0.584864866265
319,0_LPCC_1,4.24840965003,0.813036304017
320,0_LPCC_2,1.40263806609,0.502833943284
321,0_LPCC_3,0.338329503462,0.261470958073
322,0_LPCC_4,0.334468143548,0.209647400041
323,0_LPCC_5,0.276047594407,0.166684034182
324,0_LPCC_6,0.257472020561,0.161947730626
325,0_LPCC_7,0.257472020561,0.161947730626
326,0_LPCC_8,0.276047594407,0.166684034182
327,0_LPCC_9,0.334468143548,0.209647400041
328,0_LPCC_10,0.338329503462,0.261470958073
329,0_LPCC_11,1.40263806609,0.502833943284
330,0_LPCC_12,4.24840965003,0.813036304017
331,0_MFCC_0,183.896180296,43.3359246224
332,0_MFCC_1,112.794379818,51.81433513
333,0_MFCC_2,-86.9384192539,79.0846589962
334,0_MFCC_3,-214.576388244,66.0146495058
335,0_MFCC_4,-232.605708811,75.0181630756
336,0_MFCC_5,-221.623914889,71.1943199991
337,0_MFCC_6,-200.78476488,64.8893409529
338,0_MFCC_7,-186.716381573,69.4119310893
339,0_MFCC_8,-181.601544027,71.0393058735
340,0_MFCC_9,-189.050099606,76.7328464711
341,0_MFCC_10,-201.583340354,78.0864795454
342,0_MFCC_11,-216.489103847,78.5581456507
343,0_Max power spectrum,2.64764081445,1.93353056652
344,0_Maximum frequency,12.0736842394,1.53440761135
345,0_Median frequency,5.47716212655,1.35155738713
346,0_Power bandwidth,7.46785182417,1.66391939665
347,0_Spectral centroid,5.99465229482,1.0755206898
348,0_Spectral decrease,0.00182884899113,0.000522575849848
349,0_Spectral distance,-88870583.3257,49626443.066
350,0_Spectral entropy,0.743778569084,0.0376619119185
351,0_Spectral kurtosis,13.3035051279,9.07288723101
352,0_Spectral positive turning points,1810.05528568,557.019840269
353,0_Spectral roll-off,12.0736842394,1.53440761135
354,0_Spectral roll-on,1.48680675513,0.502844731589
355,0_Spectral skewness,1.72403351344,0.921596550892
356,0_Spectral slope,-1.21601793844e-05,6.88149710413e-07
357,0_Spectral spread,3.61164604351,0.557293582847
358,0_Spectral variation,0.103080400476,0.0724390928973
359,0_Wavelet absolute mean_0,1.27665040905e-06,1.78996468331e-06
360,0_Wavelet absolute mean_1,3.63221057381e-06,5.12553361411e-06
361,0_Wavelet absolute mean_2,6.5213232443e-06,9.16726892829e-06
362,0_Wavelet absolute mean_3,1.01133427218e-05,1.41272858716e-05
363,0_Wavelet absolute mean_4,1.42368515158e-05,1.9863632471e-05
364,0_Wavelet absolute mean_5,1.83907689426e-05,2.57022994464e-05
365,0_Wavelet absolute mean_6,2.21953926431e-05,3.11541696645e-05
366,0_Wavelet absolute mean_7,2.54746219348e-05,3.60684167566e-05
367,0_Wavelet absolute mean_8,2.81818159997e-05,4.0484418258e-05
368,0_Wavelet energy_0,0.0257837703915,0.0134091643176
369,0_Wavelet energy_1,0.0945642250052,0.0466743689244
370,0_Wavelet energy_2,0.151801905389,0.073546690404
371,0_Wavelet energy_3,0.183286653637,0.0928625050498
372,0_Wavelet energy_4,0.200642943935,0.110924108879
373,0_Wavelet energy_5,0.211957731675,0.128348822245
374,0_Wavelet energy_6,0.219707392174,0.143713736824
375,0_Wavelet energy_7,0.224582242783,0.156312366433
376,0_Wavelet energy_8,0.22708766755,0.166359478989
377,0_Wavelet entropy,2.08153844833,0.0447040487191
378,0_Wavelet standard deviation_0,0.0257837702982,0.0134091643167
379,0_Wavelet standard deviation_1,0.0945642248004,0.0466743689166
380,0_Wavelet standard deviation_2,0.151801904981,0.0735466903845
381,0_Wavelet standard deviation_3,0.183286652825,0.092862505029
382,0_Wavelet standard deviation_4,0.200642942434,0.110924108902
383,0_Wavelet standard deviation_5,0.211957729249,0.128348822361
384,0_Wavelet standard deviation_6,0.219707388704,0.143713737038
385,0_Wavelet standard deviation_7,0.224582238262,0.15631236669
386,0_Wavelet standard deviation_8,0.227087662042,0.166359479195
387,0_Wavelet variance_0,0.000844608498465,0.00104568699827
388,0_Wavelet variance_1,0.0111208893259,0.0130177172375
389,0_Wavelet variance_2,0.0284529340225,0.0325008064722
390,0_Wavelet variance_3,0.0422174419439,0.049913954629
391,0_Wavelet variance_4,0.052561748284,0.0669001352855
392,0_Wavelet variance_5,0.0613994991899,0.0841423776328
393,0_Wavelet variance_6,0.0689249748646,0.100012173966
394,0_Wavelet variance_7,0.0748707377232,0.113309641063
395,0_Wavelet variance_8,0.0792442825696,0.124059967658
396,0_ECDF Percentile_0,-0.0457446958922,0.0462530353522
397,0_ECDF Percentile_1,0.0457416826682,0.0462684650646
398,0_Histogram_0,4.57062367902,4.56299206131
399,0_Histogram_1,15.2328958277,24.1742138779
400,0_Histogram_2,67.9309410652,131.41919217
401,0_Histogram_3,327.896662657,524.728345618
402,0_Histogram_4,7080.35064283,671.291008955
403,0_Histogram_5,7088.59204549,670.641028863
404,0_Histogram_6,328.08977428,525.695235626
405,0_Histogram_7,67.7091327347,130.809011981
406,0_Histogram_8,15.1088664946,23.8532964636
407,0_Histogram_9,4.51841493747,4.57326567347
408,0_Interquartile range,0.0715704543428,0.0723065483415
409,0_Kurtosis,53.2236929628,60.6446046753
410,0_Max,0.921756327713,0.109178014778
411,0_Mean,-1.41254683334e-07,2.32066954934e-05
412,0_Mean absolute deviation,0.0521988023498,0.041993074504
413,0_Median,1.91565457069e-05,0.000533988249519
414,0_Median absolute deviation,0.0357844718137,0.0361560994782
415,0_Min,-0.926056026267,0.104730102232
416,0_Root mean square,0.0863592962851,0.0482318588615
417,0_Skewness,-0.0246843892991,0.866569341294
418,0_Standard deviation,0.0863592933336,0.0482318585631
419,0_Variance,0.00978423972552,0.0125727514305
420,0_Absolute energy,146.763603961,188.591272925
421,0_Area under the curve,7.73255844678,6.23812338164
422,0_Autocorrelation,146.763603961,188.591272925
423,0_Centroid,68.6466244167,9.06230440664
424,0_Mean absolute diff,0.0156273034051,0.0123136269557
425,0_Mean diff,6.03025967022e-09,2.70645486566e-06
426,0_Median absolute diff,0.0101908393122,0.010594153172
427,0_Median diff,1.33967868458e-05,0.00013706043175
428,0_Negative turning points,1104.76545769,178.911292119
429,0_Neighbourhood peaks,577.563161951,83.6297031352
430,0_Peak to peak distance,1.84781235398,0.106381093844
431,0_Positive turning points,1104.76862221,178.914576616
432,0_Signal distance,15006.3551692,8.52433335848
433,0_Slope,-5.66295984963e-11,9.28206642468e-09
434,0_Sum absolute diff,234.393923773,184.692090709
435,0_Total energy,0.978489259026,1.25735897677
436,0_Zero crossing rate,1428.84507281,391.103667778
437,hod,3.80788093931,7.02357797095
438,dow,2.95627474106,1.98256518635
439,moy,6.61853521258,3.29485283416
